collected_at,sido,hpid,dutyName,hvidate,dutyTel3,hv10,hv11,hv17,hv26,hv28,hv29,hv30,hv31,hv36,hv41,hv42,hv43,hv5,hv7,hvamyn,hvangioayn,hvcrrtayn,hvctayn,hvec,hvecmoayn,hvgc,hvhypoayn,hvicc,hvincuayn,hvmriayn,hvncc,hvoc,hvoxyayn,hvs01,hvs02,hvs03,hvs04,hvs05,hvs08,hvs17,hvs19,hvs22,hvs25,hvs26,hvs27,hvs28,hvs29,hvs30,hvs31,hvs32,hvs33,hvs34,hvs35,hvs36,hvs37,hvs38,hvs50,hvs58,hvventiayn,hvventisoayn,phpid,rnum,hv13,hv2,hv3,hv35,hv40,hv9,hvs06,hvs07,hvs14,hvs18,hvs24,hvs46,hv14,hv18,hvs47,hvs51,hv34,hvs15,hv6,hvs12,hv15,hv16,hv22,hv23,hv25,hv32,hv33,hv37,hvcc,hvccc,hvs09,hvs10,hvs11,hvs16,hvs20,hvs48,hvs49,hvs54,hvs55,hvs57,hv19,hvs52,hv27,hvs59,hv60,hv61,hvs60,hvs61,hv38,hv39,hvs21,hvs23
2026-09-22 14:58:56,서울특별시,A1100003,중앙대학교병원,20260922145509,1800-1114,Y,Y,1,,4,2,3,3,,0,Y,,Y,Y,Y,Y,Y,Y,13,Y,126,Y,,Y,Y,0,8,N1,22,4,2,3,12,25,,,16,2,2,4,3,4,51,9,21,13,6,12,,,629,1,,Y,Y,A1100003,21,0,7,3,2,2,,12,17,,11,2,0,0,,0,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100007,연세대학교의과대학세브란스병원,20260922145340,02-2228-0114,Y,Y,,,2,1,2,,,5,Y,Y,Y,Y,Y,Y,Y,Y,-5,Y,279,Y,4,Y,Y,12,10,N1,39,8,1,3,,52,18,,38,30,8,16,16,17,206,55,61,21,16,21,1,,1872,,,Y,Y,A1100007,22,,16,6,2,2,,29,24,,5,20,,,,,,4,23,2,29,1,1,,,,2,0,3,4,4,22,2,10,17,6,1,1,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,20260922145511,0215881511,Y,Y,,,3,,,2,5,2,Y,,Y,Y,Y,Y,Y,Y,-15,Y,178,Y,1,Y,Y,9,16,N1,28,7,,,2,50,5,6,32,10,2,9,10,8,80,40,39,11,9,4,,,1053,,,Y,Y,A1100012,23,1,8,16,11,14,,22,20,,18,35,1,1,,5,,7,10,2,19,1,1,,,,1,1,-1,,4,3,2,,8,6,1,1,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100009,재단법인아산사회복지재단서울아산병원,20260922145515,02-3010-3114,Y,Y,1,,5,1,3,0,3,4,Y,,Y,Y,Y,Y,Y,Y,-11,Y,296,Y,2,Y,Y,22,8,Y,36,11,1,22,2,61,12,4,74,8,8,21,15,17,190,33,49,30,14,5,,1,2104,1,,Y,Y,A1100009,24,,1,10,20,11,,24,37,,47,28,,,1,,6,2,12,7,12,2,1,,,,3,1,1,3,1,26,2,13,12,6,2,1,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100011,가톨릭대학교여의도성모병원,20260922145511,02-1661-7575,,,,,,1,4,2,,0,Y,,Y,Y,Y,Y,Y,Y,7,Y,56,Y,,N1,Y,,8,N1,15,,1,4,2,,,,13,1,2,2,2,2,23,,,5,1,2,,,330,,,Y,N1,A1100011,25,,-2,3,1,,,10,8,,1,,,,,,,,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100055,한림대학교강남성심병원,20260922145103,02-829-5114,Y,Y,,,3,3,1,0,2,,Y,,Y,Y,Y,Y,Y,Y,8,Y,159,Y,,Y,Y,0,6,N1,20,3,3,2,2,12,,3,14,,3,3,3,3,54,21,22,13,3,2,,,493,,,Y,Y,A1100055,26,,6,8,4,,,21,23,,7,,,,,,,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100054,성애의료재단성애병원,20260922145318,02-840-7114,Y,Y,,,,1,4,,,,Y,,Y,Y,Y,Y,Y,Y,10,N1,75,N1,5,Y,Y,4,2,N1,15,,1,4,,4,19,,5,,2,2,2,1,8,5,14,2,,,,,252,,,Y,Y,A1100054,27,,,,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100004,순천향대학교부속서울병원,20260922145426,02-709-9114,Y,Y,,,4,1,2,0,2,2,Y,,Y,Y,Y,Y,Y,Y,3,Y,159,Y,6,Y,Y,0,2,N1,20,4,1,2,2,13,43,3,14,4,7,3,3,4,51,8,17,14,5,3,,,597,,,Y,Y,A1100004,28,,,,1,8,,,,,10,21,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,0,0,,,0,0,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1121013,가톨릭대학교은평성모병원,20260922145510,02-1811-7755,Y,Y,,,7,2,2,,,2,Y,,Y,Y,Y,Y,Y,Y,-3,Y,210,Y,,Y,Y,5,8,N1,24,8,2,2,,19,,,19,5,1,4,3,5,46,19,22,10,5,20,,,651,,,Y,Y,A1121013,29,,2,5,0,,,16,9,,4,,,,,,,2,12,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100006,강북삼성병원,20260922145523,02-2001-2001,Y,Y,,,2,1,1,,,2,Y,,Y,Y,Y,Y,Y,Y,7,Y,42,Y,8,Y,Y,1,6,N1,15,2,1,2,,14,24,,16,3,1,5,4,6,54,13,14,8,4,3,,,569,,,Y,Y,A1100006,30,,,1,2,7,,,4,,5,18,,,,,,,,1,12,,,,,,,,,,0,,,,8,,,,,,,,,,,,,,,,,,
2026-09-22 14:58:56,서울특별시,A1100052,국립중앙의료원,20260922145505,02-2260-7114,N,Y,,0,3,2,2,1,0,5,Y,,Y,Y,Y,Y,Y,Y,9,Y,0,Y,9,Y,Y,,7,N1,15,3,2,3,6,,13,0,7,7,1,1,1,2,56,1,3,5,5,2,,,202,,0,Y,N,A1100052,31,,,0,2,,0,,0,20,2,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,0,,,5,5,2,6,2,6,0,2,50,2
